ORDERDATE,SALES,PRODUCTLINE,DEALSIZE,COUNTRY
2003-02-24,2871.0,Motorcycles,Small,USA
2003-05-07,2765.9,Motorcycles,Small,France
2003-07-01,3884.34,Motorcycles,Medium,France
2003-08-25,3746.7,Motorcycles,Medium,USA
2003-10-10,5205.27,Motorcycles,Medium,USA
2003-10-28,3479.76,Motorcycles,Medium,USA
2003-11-11,2497.77,Motorcycles,Small,France
2003-11-18,5512.32,Motorcycles,Medium,Norway
2003-12-01,2168.54,Motorcycles,Small,USA
2004-01-15,4708.44,Motorcycles,Medium,France
2004-02-20,3965.66,Motorcycles,Medium,Australia
2004-04-05,2333.12,Motorcycles,Small,USA
2004-05-18,3188.64,Motorcycles,Medium,USA
2004-06-28,3676.76,Motorcycles,Medium,USA
2004-07-23,4177.35,Motorcycles,Medium,France
2004-08-27,4099.68,Motorcycles,Medium,USA
2004-09-30,2597.39,Motorcycles,Small,Finland
2004-10-15,4394.38,Motorcycles,Medium,Norway
2004-11-02,4358.04,Motorcycles,Medium,USA
2004-11-15,4396.14,Motorcycles,Medium,USA
2004-11-24,7737.93,Motorcycles,Large,Austria
2004-12-17,1451.0,Motorcycles,Small,Australia
2005-02-03,733.11,Motorcycles,Small,France
2005-03-03,3207.12,Motorcycles,Medium,USA
2005-04-08,2434.56,Motorcycles,Small,UK
2005-05-13,7516.08,Motorcycles,Large,Spain
2003-01-29,5404.62,Classic Cars,Medium,Norway
2003-03-24,7209.11,Classic Cars,Large,Sweden
2003-05-28,7329.06,Classic Cars,Large,Spain
2003-07-24,7374.1,Classic Cars,Large,USA
2003-09-19,10993.5,Classic Cars,Large,Singapore
2003-10-20,4860.24,Classic Cars,Medium,USA
2003-11-06,8014.82,Classic Cars,Large,Australia
2003-11-13,5372.57,Classic Cars,Medium,USA
2003-11-25,7290.36,Classic Cars,Large,France
2003-12-05,9064.89,Classic Cars,Large,Canada
2004-01-29,6075.3,Classic Cars,Medium,USA
2004-03-10,6463.23,Classic Cars,Medium,USA
2004-05-04,6120.34,Classic Cars,Medium,USA
2004-06-15,7680.64,Classic Cars,Large,Japan
2004-07-19,4905.39,Classic Cars,Medium,Australia
2004-08-17,8014.82,Classic Cars,Large,Italy
2004-09-08,7136.19,Classic Cars,Large,Sweden
2004-10-11,10172.7,Classic Cars,Large,France
2004-10-21,11623.7,Classic Cars,Large,USA
2004-11-04,6000.4,Classic Cars,Medium,USA
2004-11-18,3003.0,Classic Cars,Medium,USA
2004-11-29,3944.7,Classic Cars,Medium,Australia
2004-12-10,5691.84,Classic Cars,Medium,USA
2005-01-20,4514.92,Classic Cars,Medium,USA
2005-02-17,8254.8,Classic Cars,Large,USA
2005-03-09,2416.56,Classic Cars,Small,Australia
2005-05-01,4140.23,Classic Cars,Medium,Canada
